app_id,app_name,app_package_name,app_category,number_of_downloads,privacy_policy_url,standard,reason
11,onX Offroad: Trail Maps & GPS,onxmaps.offroad,Maps & Navigation,1M+,https://www.onxmaps.com/privacy-policy,Good Standard,"| Good | The privacy policy document provided by ""onXmaps, Inc."" can be regarded as of Good Standard based on the GDPR Article 5 definitions. The policy clearly outlines its basis for data processing and uses simple language ensuring transparency (“Lawfulness, Fairness, and Transparency”). It also defines limited purposes for data collection, and clearly states that it does not sell personal information (“Purpose Limitation”). The policy specifies that it collects only necessary data and limits data collection to what is essential for the stated purpose (“Data Minimization”). It has mechanisms in place for users to update or correct their data (“Accuracy”). The data retention periods are clarified and the document explains that the data is anonymized when possible (“Storage Limitation”). The document refers to using physical and electronic safeguards as a means to protect data (“Integrity and Confidentiality”)."
12,Earth 3D Map,com.think.earth,Maps & Navigation,1M+,https://foxpoi.com/international/com.think.earth.html,Good Standard,"| Good | The privacy policy adheres to the principles of lawfulness, fairness, and transparency. The information collection and use is explicit and stated in a simple language, assisting users' comprehension. It collects only necessary data and allows users to control how their data is used and shared, and how to opt out of their service which indicates data minimization. Measures to ensure users' data accuracy are implemented through an option to update or correct their data via account management. The policy defines clear retention periods and deletion of data after account cancellation, providing a storage limitation. The use of cookie is transparent and gives users an option to refuse the cookie usage. There are adequate security measures mentioned and a strong commitment to prevent unauthorized access of user data. The use of third-party service providers is also clearly stated, providing proper understanding and control to the user. In addition, there's explicit mention of not collecting data of children under 13. However, it's important to note that while the privacy policy meets the criteria for a 'Good Standard', like many digital services, it can't guarantee 'absolute' security, as it mentioned."
13,"Mappls MapmyIndia Maps, Safety",com.mmi.maps,Maps & Navigation,10M+,http://www.mapmyindia.com/about/privacy-policy,Bad Standard,"| Bad |
The privacy policy does fall short in a few main areas:
1. Lawfulness, Fairness, and Transparency: The policy does mention the type of data gathered, but it does not explicitly state the legal basis for this data processing, making it less transparent for users.
2. Purpose Limitation: The policy fails to clearly define the purposes for which the data is collected, and it doesn't ensure the user that the data will not be used for additional, incompatible purposes without their consent.
3. Data Minimization: While the policy doesn't mention the collection of unnecessary data, it doesn't emphasize a focus on limiting data collection to only what is essential.
4. Accuracy: There are no measures or mechanisms mentioned in the policy that allow users to update or correct their data.
5. Storage Limitation: The policy does not define clear retention periods for the data and doesn't talk about the possible deletion or anonymization of data.
6. Integrity and Confidentiality: The policy fails to explicitly mention any security measures in place to protect the data of users."
14,TomTom GO Navigation,com.tomtom.gplay.navapp,Maps & Navigation,10M+,https://www.tomtom.com/en_gb/navigation/mobile-apps/go-navigation-app/privacy-policy/,Bad Standard,"| Bad | The privacy policy does not detail the specific data it collects, and does not explicitly state its legal basis for data processing. While it emphasizes respect for user privacy, it does not clearly outline measures for data accuracy, data minimization, storage limitation or provide information about the security measures it uses to protect data. Therefore, it fails on the transparency, data minimization, accuracy, storage limitation, and integrity and confidentiality assessment points."
15,Radarbot Speed Camera Detector,com.vialsoft.radarbot_free,Maps & Navigation,50M+,https://www.radarbot.com/privacy,Good Standard,"| Good | The privacy policy of RADARBOT incorporates the principles of the GDPR Article 5 effectively.
- Lawfulness, Fairness, and Transparency: The policy clearly mentions the organization responsible for data processing, including their corporate name, address, and contact details for the Data Protection Officer. It also describes why and how the data is processed, maintaining transparency.
- Purpose Limitation: It specifies the purpose of processing the personal data - to offer the RADARBOT services and providing customised advertisements. Data is also collected for maintaining and improving service quality.
- Data Minimization: The policy lists the types of data collected, including identifying data, browsing data, and usage data, which is necessary for the stated purpose.
- Accuracy: While it doesn't specifically mention data accuracy checks, it states that the users have the right to request rectification of any inaccurate data.
- Storage Limitation: The privacy policy describes their data storage principles, including retention for the required legal period and during the validity of the user's consent. They also retain data for claims and to maintain contractual obligations.
- Integrity and Confidentiality: They take measures to protect data rights and assure the users about sending data anonymously and sharing with entities that abide by Privacy Shield, binding corporate regulations, and contractual clauses. In addition, users have been granted rights, such as the right to access, rectify, limit processing, oppose processing, and data portability. Assurance is also given about response time for inquiries about rights."
16,Sky Map,com.google.android.stardroid,Books & Reference,50M+,http://github.com/sky-map-team/stardroid/blob/master/PRIVACY_POLICY.md,Bad Standard,"| Bad | The Privacy Policy provided by the app is lacking several important elements which are required under the GDPR standards and hence, it cannot be classified as Good Standard.
The policy does not provide clear details about several elements of Good Standard Assessment such as:
1. Lawfulness, fairness and transparency: Although the policy mentions about not collecting any personally identifiable information, it does not clearly state its legal basis for data processing. This falls short of the GDPR requirement for lawfulness.
2. Purpose Limitation: The policy vaguely mentions that the data collected is only used for improving app features, but it does not explicitly limit the use of data just for that purpose.
3. Data Minimization: The policy does not specify the type and amount of data that is being collected, hence, it doesn't prove that the app is collecting only the necessary data.
4. Accuracy: The policy does not mention any mechanisms for users to update or correct their data if required; this is another key requirement of GDPR.
5. Storage Limitation: The policy does not provide any information on how long the user data is being retained neither any procedure for data deletion after the purpose is fulfilled.
6. Integrity and Confidentiality: There's no mention about any security measures being used to protect user data.
Therefore, though the policy might indicate respect for user privacy, it does not comply with the Good Standard requirements, hence it's classified as Bad."
17,Yanosik antiradar & navigation,pl.neptis.yanosik.mobi.android,Maps & Navigation,10M+,https://yanosik.pl/polityka-prywatnosci-web,Good Standard,"| Good | The privacy policy has comprehensive definitions regarding lawfulness, fairness, and transparency as it clearly states the legal basis of data processing and informs users how their data is used. It states the purposes for data collection, emphasizes on data minimization and ensures data accuracy by permitting users to update their information. It states clear retention periods and provides a process of data deletion/anonymization after the purpose is fulfilled. In addition, it demonstrates adequate security measures by providing information on data transmission to IT service providers and other partners, while ensuring compliance with data processing rules."
18,My Zong,com.zong.customercare,Communication,50M+,https://www.zong.com.pk/about-zong/privacy-policy,Good Standard,"| Good | The policy exemplifies good standards by clearly specifying the type of personal information it collects and the purpose of the collection while ensuring the data is not provided to third parties without consent. This shows adherence with principles of lawfulness, fairness, and transparency, as well as purpose limitation and data minimization. The policy also incudes provisions to ensure data accuracy by allowing subjects to access, update, or delete their information. It also covers transparency, integrity, and confidentiality by clearly stating how it uses cookies, outlining user's ability to manage them, and details regarding data retention periods. Moreover, the policy also covers consent considerations for data subjects below 18 years of age. It also indicates that it makes amendments to the policy to ensure continuous compliance."
19,Sonos,com.sonos.acr2,Music & Audio,5M+,http://www.sonos.com/legal/privacy/,Good Standard,"| Good | The Privacy Policy is a Good Standard because it provides clear and easily understood information. Matters such as Lawfulness, Fairness, and Transparency are addressed when it states why personal information is being collected and how it's used. It includes a Purpose Limitation: it clearly defines the purpose for data collection. Data Minimization is fairly undertaken as they only collect necessary information for the stated purpose. They also offer Accuracy because they implement measures to ensure data accuracy, such as using unique alpha-numeric identification numbers. A Importance to Integrity and Confidentiality is shown as the password is stored via a one-way hash ensuring it cannot be disclosed by anyone. Although it lacks explicit mention of a storage limitation, it otherwise fits the criteria for a Good Standard Assessment."
20,LandGlide,com.reportallusa.landglide,Business,1M+,https://reportallusa.com/solutions/landglide/privacy_policy.html,Good Standard,"| Good | The LandGlide Privacy Policy adequately follows most of the GDPR principles.
1. Lawfulness, Fairness, and Transparency: The policy is clear about the data it collects, how it uses it and the users' consent is required (first paragraph).
2. Purpose Limitation: The purposes for collecting both non-personal and personal data are thoroughly described (under the 'Non-personal data' and 'Personal data' sections).
3. Data Minimization: The policy acknowledges they collect only data necessary for the purposes outlined, distinguishing between personal and non-personal data.
4. Accuracy: While the policy does not emphasize data accuracy, it allows users to correct their data if they believe it's incorrect or incomplete (under 'Controlling your personal information').
5. Storage Limitation: The 'Data Retention and Correctness' section specifies they retain data for as long as necessary for the purposes outlined, and then delete it.
6. Integrity and Confidentiality: The 'Safeguards and Security' section details the measures they take to protect data.
However, it's important to note that the policy does not verify the correctness of personal data and users should be aware that despite all security precautions, there is a chance of unauthorized access to data."
21,Zoning IO Paper Folding,com.iogames.zoningio,Casual,5K+,https://docs.google.com/document/d/1Kvm5fRfcnL7CTE1IIERVtyDIEAyujt6BWHmRfSTM6hA/edit,Bad Standard,| Bad | The privacy policy is not provided in a comprehensible language so it's impossible to assess it according to the criteria. It's necessary for the policy to be understandable and transparent.
22,ZoneIn,com.zonein,Health & Fitness,1K+,https://www.getzonein.com/privacy-policy,Good Standard,"| Good |
The privacy policy is thorough and well outlined, covering key areas necessary for Good Standard Assessment:
- Lawfulness, Fairness, and Transparency: The policy provides clear language that outlines its practices. It emphasizes transparency about data collection and usage. (e.g., the sections 'WHAT INFORMATION DO WE COLLECT?' and 'HOW DO WE USE YOUR INFORMATION?'). The policy states the legal bases for processing user data.
- Purpose Limitation: The policy explains in detail how it uses the information collected. It lists legitimate business interests, legal obligations, user consent, and contract fulfillment as reasons for data usage.
- Data Minimization: The policy details the specific types of data being collected and processed and their necessity to the service.
- Accuracy: The policy allows users to review, update, or delete their personal data, ensuring accuracy of data (e.g., section '12. HOW CAN YOU REVIEW, UPDATE, OR DELETE THE DATA WE COLLECT FROM YOU?').
- Storage Limitation: The policy specifies the retention period of the personal data and outlines the procedures for data deletion or anonymization when necessary.
- Integrity and Confidentiality: The policy describes the measures taken to keep user data secure (e.g., '6. HOW DO WE KEEP YOUR INFORMATION SAFE?').
One point of consideration, however, the policy claims not to respond to ""Do Not Track"" preferences set on the user's browser. This may fall short in being fully transparent about their tracking technologies."
23,Elevate Parcel,com.tdn.elevate,Productivity,50K+,http://39dn.com/widgets/privacy/,Bad Standard,"| Bad | While the policy is transparent and outlines lawful and fair means of data collection, it does not explicitly define the purpose for data collection or how long it will retain the data. It also doesn't provide mechanisms for users to update or correct their data, or criteria for data retention periods."
24,onX Hunt: GPS Hunting Maps,onxmaps.hunt,Sports,5M+,https://www.onxmaps.com/privacy-policy,Good Standard,"| Good | The privacy policy of onXmaps, Inc. fairly meets the Good Standard Assessment criteria.
- Lawfulness, Fairness, and Transparency: The policy is clear about its legal obligations and explains in detail the purposes and methods of data collection.
- Purpose Limitation: The company clearly states the purposes for data collection using their services. The policy also ensures data is not used for incompatible purposes without extra consent.
- Data Minimization: The policy mentions collection of only necessary data for providing the service.
- Accuracy: The policy allows users to update or correct their data through their customer support email.
- Storage Limitation: The policy mentions that data is retained only as long as necessary, with the potential for anonymization for non-personally identifiable and aggregate information.
- Integrity and Confidentiality: The policy mentions the use of physical and electronic safeguards for data protection. However, there is a lack of specifics on encryption and regular security assessments."
25,Atlas Earth - Buy Virtual Land,ci.atlasearth.client,Finance,1M+,https://legal.atlasreality.com/content/common/privacy-policy.html,Good Standard,"| Good | The privacy policy of Atlas Reality, Inc. seems to adhere well to Good Standard criteria. It transparently outlines the types of personal data it collects, both directly and indirectly, and the purposes for such collection, such as service improvement and marketing efforts, in line with the principle of lawfulness, fairness, and transparency. It also places limitations on data use, stating that it won't be used for purposes other than stated without additional consent from the user, adhering to the principle of purpose limitation. Regarding data minimization, the policy collects only necessary data required for the stated purpose. Accuracy is ensured through user's rights to rectify and update their data. There are clear retention periods defined and storage limitation procedures in place. Lastly, the policy asserts that the company follows industry standards for data security, suggesting adequate measures for integrity and confidentiality. However, it's recommended to provide more specific details about these security measures."
26,The Regrid Property App,com.loveland.pr,Maps & Navigation,100K+,https://regrid.com/terms/privacy,Bad Standard,"| Bad | The policy does not fully align with the Good Standard Assessment as defined by GDPR Article 5. It does not explicitly state its legal basis for data processing, maintaining Lawfulness, Fairness, and Transparency. It is also vague about Purpose Limitation, as the purposes for data collection are not clearly defined. While the policy mentions collecting necessary information for registration, it does not emphasize data minimization effectively. Furthermore, there are no clear measures to ensure data accuracy - users are not provided with a mechanism to update or correct their data. Also, the document doesn't set clear retention periods (Storage Limitation) and there is no explanation about data deletion or anonymization procedures. Finally, the document is silent on Integrity and Confidentiality measure, it does not mention any security measures to protect data."
27,Zonneplan | Energie,com.zonneplanapp,Tools,50K+,https://www.zonneplan.nl/privacy,Bad Standard,"| Bad | The reason is that the policy does not fully meet all the Good Standard criteria. While the policy does indicate that data is only shared with necessary third parties, and that there are precautions for data protection (Lawfulness, Fairness, and Transparency, and Integrity and Confidentiality), it does not explicitly mention users’ rights to update or correct their data for accuracy purposes. The policy also does not define clear data retention periods or the process for data deletion or anonymization (Accuracy, and Storage Limitation). Furthermore, the policy only loosely defines the purpose of data collection, not ensuring that data isn't used for other purposes without additional consent (Purpose Limitation)."
28,My Telenor,com.telenor.pakistan.mytelenor,Tools,10M+,https://www.telenor.com.pk/privacy-notice/,Good Standard,"| Good |
This privacy policy document follows GDPR Article 5 standards of Good Standard Assessment well.
- The company states their commitment to fairness and transparency (Sections 1 & 2)
- The purpose of data collection is clearly outlined (Section 3)
- The data minimization principle is mentioned by stating they collect only necessary data (Section 3)
- Mechanisms for ensuring data accuracy, such as customers' rights to access, rectification, and erasure are in place (Section 8)
- Storage limitations are stated with concrete retention period terms and plans for data disposal (Section 7)
- Integrity and confidentiality are well-maintained via various encryption methods and protocols to protect user data, along with a commitment to data protection by design and by default (Section 6).
However, the company is recommended to make the policy language even simpler and more transparent for users to easily understand."
29,Acres: Land Data & Parcel Maps,com.acretrader.acremapsmobile,Business,100K+,https://www.acres.co/privacy-policy,Good Standard,"| Good | This privacy policy is classified as Good Standard due to several reasons:
1. Lawfulness, Fairness, and Transparency: The policy clearly mentions its lawful basis for data processing and uses simple, transparent language that can be understood easily by the users. Various sections such as ""How we use your personal information"", ""How we share your personal information"", and ""Security practices"" offer a fair insight into their data handling procedures.
2. Purpose Limitation: The policy defines the purposes for data collection in a very detailed manner. They range from providing and improving services to complying with laws and handling fraud prevention.
3. Data Minimization: It specifies the exact information being collected; from user-provided information like contact details and account information to automatically collected data like device data and online activity data.
4. Accuracy: A mechanism for accuracy is established where users who have registered an account with them can review and update certain personal information.
5. Storage Limitation : The policy does not directly mention the data retention periods, however, it establishes that they may process data as necessary for their services, compliance with law, fraud prevention, and business operations.
6. Integrity and Confidentiality: Their ""Security practices"" section establishes their commitment to data security through organizational, technical, and administrative measures. They also mention that data transmitted over the internet cannot be guaranteed secure, which is a standard disclaimer."
30,HAPPY ZONE - Battle Royale,com.prty.hpz,Action+Shooter+Tactical shooter+Casual+Multiplayer+Competitive multiplayerStylized,500K+,https://docs.google.com/document/d/e/2PACX-1vSvHGsS6RfgaotObZKyspmHHzffXL1-dQxEUqGTRhQ7pIBwSO4f-Wjdl7I-jDc3gi4BI17EbwAfP-ZJ/pub,Bad Standard,"| Bad | The privacy policy does not clearly underline data minimization, storage limitations, and accuracy measures. It doesn't specify whether the data collection is limited to what is necessary for the stated purpose of providing the service (Games) and improving them. In addition, there's a lack of detail about how long user data is retained and how the process of deletion or anonymization is implemented after the purpose is fulfilled, as per the GDPR's storage limitation principle. Finally, it does not include mechanisms for users to correct or update their data, violating the accuracy requirement."
31,Locus GIS offline land survey,menion.android.locus.gis,Productivity,500K+,https://help.locusgis.com/en/support/solutions/articles/47001181440-privacy-policy/,Good Standard,"| Good |
The privacy policy is in good standard because:
1. Lawfulness, Fairness, and Transparency: The policy clearly states its legal basis for data processing, which is the GDPR (Regulation of the European Parliament and of the Council (EU) 2016/679). The policy uses transparent language to explain how user data is processed.
2. Purpose Limitation: The policy clearly defines the purposes for data collection, such as to allow users to use the application, maintain its functions, and stay in touch with users. It limits data use to these purposes.
3. Data Minimization: The policy specifies that only necessary data is collected for the user account, location tracking for the app's functionality, and analytical purposes.
4. Accuracy: The policy indicates that users can change their optional data at any time and the data will be updated or deleted as specified.
5. Storage Limitation: The policy outlines specific retention periods for different types of data, such as that necessary for the performance of the License Agreement, and it also specifies a process for data to be deleted after such periods.
6. Integrity and Confidentiality: The policy states that it shares personal data securely with third parties for the purpose of fulfilling its stated purposes and uses secure analytical services from trusted companies such as Google Inc. and Google Ireland Limited."
32,Land Builder,com.game.perfectlands,Casual,1M+,https://say.games/privacy-policy,Good Standard,"| Good | This policy sets a clearly stated legal basis for data processing based on GDPR Article 5. It gives specific details about what data is being collected and why, and explains how long the data will be retained. It also has a transparent process for users to update or delete their data, and provides a way to object to data processing. The policy also mentions using adequate security measures to protect the user's data, including encryption and regular security assessments. The policy also has clear descriptions of users' rights according to GDPR Article 5 and CCPA."
33,Land Map - GPS Land Survey & M,com.globalgnss.landmap,Maps & Navigation,100K+,https://globalgns.com/globalgnss-privacypolicy.html,Bad Standard,"| Bad | The privacy policy does not satisfy several key criteria needed to meet a Good Standard Assessment. It lacks transparency about its legal basis for data processing. The purposes for data collection are not clearly defined or limited. The policy doesn't specify if it only collects necessary data. It also does not clarify if there are any measures ensuring data accuracy and whether the users can update or correct their data. Moreover, there's no discussion about storage limitation, no clear retention periods or criteria determining these periods, and no mentioning of the process for data deletion or anonymization. Lastly, there's no information regarding the security measures in place to protect data, such as encryption or security assessments."
34,magicplan,com.sensopia.magicplan,Productivity,5M+,https://magicplan.app/terms-conditions,Bad Standard,"| Bad | The document provided is a Terms of Service, not a Privacy Policy. It does not provide detailed information about data collection, usage, storage, and protection required to determine if it meets the Good Standard Assessment based on GDPR Article 5. There are mentions of a Privacy Policy, but the document itself does not provide any insight into how personal data is handled. Please provide the Privacy Policy document for proper assessment. |"
35,Floor Plan Creator,pl.planmieszkania.android,Art & DesignPlay Pass,10M+,https://floorplancreator.net/privacy,Good Standard,"| Good | This privacy policy is concise and transparent with clear information on data controllers and their contact details. It specifies the necessary minimum data needed for service operation, including personal and non-personal identifiable information. For data accuracy, the policy permits users to view, amend or delete their personal data. Data collected has a clear limited purpose, such as authentication and preventing abuse. The policy clearly states that emails will be stored until the user decides to delete their account, satisfying storage limitation and also non-personal data like server logs are deleted after a day, analytics cookies after 14 months. It ensures data integrity and confidentiality by storing data in a secure hosting location with strict access control and monitoring and using encrypted SSL for server communication."
36,Land id™,com.mapright.android,Productivity,100K+,https://id.land/legal/privacy-policy,Bad Standard,"| Bad | The policy does not mention the legal basis for data processing as outlined in GDPR Article 5's ""Lawfulness, Fairness, and Transparency"" mandate. While it states that Land id™ collects and uses personal data, it fails to clearly define the purposes for which this data is collected and used, violating the ""Purpose Limitation"" guideline. The ""Data Minimization"" principle is breached as the policy doesn't specify that only necessary data will be collected. The policy does not provide a clear process allowing users to correct their data, breaching the ""Accuracy"" guideline. It does not define clear retention periods for data or a process for data deletion, which is required by ""Storage Limitation"". Lastly, it doesn't explicitly mention any security measures in place to protect data, thereby violating the ""Integrity and Confidentiality"" principle of GDPR Article 5."
37,Landeed: Digital Property Docs,com.landeed,Tools,1M+,https://zj2530.wixsite.com/my-site-8/privacy-policy-for-landeed-android-app,Good Standard,"| Good | The Privacy Policy document meets the standard described in the Good Standard Assessment. The policy is clear and transparent in explaining their legal basis for the collection, usage, and disclosure of personal data. It discusses how the data is used and specifies the limited purposes for data collection (Purpose Limitation). They emphasize data minimization by stating that they only collect necessary data. They have also outlined measures for data accuracy by allowing users to update or correct their information (Accuracy). There are clear retention periods and processes for data deletion or anonymization after its purpose has been served (Storage Limitation). Finally, the policy describes measures taken to ensure the security and confidentiality of data. Thus, based on the GDPR Article 5 criteria, the policy is of Good standard."
